
======================================================================
Training started
======================================================================
  >> Saved checkpoint: fs2_step4000.pt
  step  4100/10000 | epoch 158 | loss=6.0349 mel=0.4426 dur=0.5867 pitch=0.5050 energy=0.8245 | lr=0.000311 | 0.6 step/s
  step  4200/10000 | epoch 162 | loss=6.4122 mel=0.4221 dur=0.6955 pitch=0.4565 energy=0.7998 | lr=0.000305 | 0.6 step/s
  step  4300/10000 | epoch 166 | loss=6.1919 mel=0.4148 dur=0.6650 pitch=0.4365 energy=0.7895 | lr=0.000300 | 0.6 step/s
  step  4400/10000 | epoch 170 | loss=7.3447 mel=0.4103 dur=0.8801 pitch=0.4743 energy=0.7928 | lr=0.000295 | 0.6 step/s
  step  4500/10000 | epoch 174 | loss=6.2642 mel=0.4194 dur=0.6326 pitch=0.5088 energy=0.8320 | lr=0.000289 | 0.6 step/s
  step  4600/10000 | epoch 177 | loss=6.2800 mel=0.4176 dur=0.6568 pitch=0.4488 energy=0.8403 | lr=0.000284 | 0.6 step/s
  step  4700/10000 | epoch 181 | loss=5.9791 mel=0.4307 dur=0.6049 pitch=0.4460 energy=0.8159 | lr=0.000279 | 0.6 step/s
  step  4800/10000 | epoch 185 | loss=6.6501 mel=0.4189 dur=0.7568 pitch=0.3970 energy=0.8266 | lr=0.000274 | 0.6 step/s
  step  4900/10000 | epoch 189 | loss=5.5972 mel=0.4167 dur=0.5362 pitch=0.4208 energy=0.8291 | lr=0.000268 | 0.6 step/s
  step  5000/10000 | epoch 193 | loss=6.8659 mel=0.4029 dur=0.7438 pitch=0.5522 energy=0.8198 | lr=0.000263 | 0.6 step/s
  step  5100/10000 | epoch 197 | loss=8.0751 mel=0.3763 dur=1.0481 pitch=0.4506 energy=0.7787 | lr=0.000258 | 0.6 step/s
  step  5200/10000 | epoch 200 | loss=6.4023 mel=0.3925 dur=0.6723 pitch=0.5175 energy=0.8065 | lr=0.000253 | 0.6 step/s
  step  5300/10000 | epoch 204 | loss=6.4775 mel=0.3910 dur=0.7231 pitch=0.4008 energy=0.8347 | lr=0.000247 | 0.6 step/s
  step  5400/10000 | epoch 208 | loss=6.4224 mel=0.3707 dur=0.6447 pitch=0.5756 energy=0.8384 | lr=0.000242 | 0.6 step/s
  step  5500/10000 | epoch 212 | loss=5.7280 mel=0.3468 dur=0.5076 pitch=0.6112 energy=0.8104 | lr=0.000237 | 0.6 step/s
  step  5600/10000 | epoch 216 | loss=6.8458 mel=0.3712 dur=0.8077 pitch=0.4168 energy=0.8011 | lr=0.000232 | 0.6 step/s
  step  5700/10000 | epoch 220 | loss=6.4938 mel=0.3546 dur=0.7549 pitch=0.3924 energy=0.7900 | lr=0.000226 | 0.6 step/s
  step  5800/10000 | epoch 224 | loss=6.4388 mel=0.3688 dur=0.7087 pitch=0.4784 energy=0.7848 | lr=0.000221 | 0.6 step/s
  step  5900/10000 | epoch 227 | loss=5.9987 mel=0.3848 dur=0.6050 pitch=0.4800 energy=0.8144 | lr=0.000216 | 0.6 step/s
  step  6000/10000 | epoch 231 | loss=7.2128 mel=0.3541 dur=0.8481 pitch=0.4701 energy=0.8389 | lr=0.000211 | 0.6 step/s
  >> Saved checkpoint: fs2_step6000.pt
  step  6100/10000 | epoch 235 | loss=5.9014 mel=0.3635 dur=0.5757 pitch=0.4592 energy=0.8703 | lr=0.000205 | 0.6 step/s
  step  6200/10000 | epoch 239 | loss=7.3738 mel=0.3539 dur=0.9054 pitch=0.4782 energy=0.7681 | lr=0.000200 | 0.6 step/s
  step  6300/10000 | epoch 243 | loss=6.9922 mel=0.3388 dur=0.8599 pitch=0.4322 energy=0.7447 | lr=0.000195 | 0.6 step/s
  step  6400/10000 | epoch 247 | loss=5.9629 mel=0.3601 dur=0.6129 pitch=0.4729 energy=0.7963 | lr=0.000189 | 0.6 step/s
